"","X","SBL","STORIES","GROSS_SQ_FT","OVER_COND","BUILD_AGE","CLASS","CLASSDSCRP","CURRENT_LAND_VALUE","STRUCTURE_VALUE","CrowdednessRate","DisabledRate","HSCompletedRate","BothParentsRate","UnemploymentRate","YoungUnemploymentRate","MalePopRate","PovertyRate","NonWhiteRate","ChildrenRate","ElderlyRate","VacancyRate","OwnerOccupiedRate","MedianIncome","FIRE"
"5716",5848,"12237000010150000000",2,8.34450508359052,"NORMAL",97,"Commercial","APARTMENT",11.1844213979982,12.4703581401756,0.0129137967349803,0.117841427135444,0.835155156777296,0.259424114418741,0.141905298130411,0,0.491586834301869,0.263105059744389,0.464450230081439,0.0601451627521301,0.110412828944114,0.169121784109858,0.235831441526057,41907.5427072966,"NO"
"5717",5849,"12237000010160000000",2,8.22013395715186,"NORMAL",92,"Commercial","APARTMENT",11.0974100210086,11.9766594812024,0.0122276789203363,0.1176931990877,0.840897314989979,0.261579935709225,0.135699353050457,0,0.496470510138638,0.255348434858537,0.446039833828294,0.0571467996996637,0.113573253924306,0.163515085999663,0.236409332750077,42824.0699147613,"NO"
"5718",5850,"12237000010170000000",2,8.37562962709445,"NORMAL",92,"Commercial","APARTMENT",11.1844213979982,12.2452933586835,0.0121283459406112,0.117671739313086,0.841728638230893,0.261892045594682,0.134800884881222,0,0.49717754625186,0.254225466403153,0.443374461382462,0.0567127104952404,0.114030805708825,0.162703374049006,0.236492997182064,42956.7605060469,"NO"
"5719",5851,"12237000010210000000",2,8.70499967844076,"NORMAL",107,"Commercial","APARTMENT",11.7360690162844,12.5061772379805,0.0068442594251497,0.100315935407156,0.949323602626157,0.647962149174611,0.0430626145313768,0.00680943540459121,0.555649619679935,0.158315400285182,0.0918471964766815,0.00730671667660556,0.138032066716221,0.0467814994244616,0.252353320871479,54394.3981777996,"NO"
"5720",5852,"12237000010260000000",3,8.65869275368994,"NORMAL",117,"Commercial","APARTMENT",11.4510500612521,13.0080742310022,0.0069408138609731,0.100108054829178,0.949409546946438,0.652870976691873,0.0433160220263469,0.00690549856539868,0.555256651603263,0.158896651731998,0.0914791220666426,0.00735743794900481,0.137582537920483,0.0465443043474738,0.252432957968373,54327.1963290883,"NO"
"5721",5853,"12237000010270000000",2,8.60116662519242,"NORMAL",115,"Commercial","APARTMENT",11.5079129231467,12.4312141995071,0.00745253340244562,0.0990063286046217,0.949865034959922,0.678886798180335,0.0446590319670706,0.00741461444579912,0.553173997996587,0.161977170211633,0.0895284000026935,0.00762625072838366,0.135200123614272,0.0452872170370813,0.252855018936982,53971.0397329112,"NO"
"5722",5854,"12237000010300000000",2,8.34045601291618,"NORMAL",117,"Commercial","APARTMENT",10.9366720358818,12.4638108416089,0.00802611598906647,0.134767959997741,0.932963560389518,0.671526691387041,0.0567151379800103,0.0232907707768905,0.53571412871109,0.179371776839769,0.125389570679221,0.0136197103005399,0.102380473184139,0.0441870412310986,0.203423894327059,49022.3760733878,"NO"
"5723",5855,"12237000010330000000",2,9.08239335764556,"NORMAL",117,"Commercial","APARTMENT",11.5559849544307,12.7236752535752,0.00766552485630706,0.137867419416071,0.931549246502766,0.650900985355936,0.0564312737180681,0.0238930866054828,0.536231936755801,0.178076476260725,0.129153294104206,0.0137877122768462,0.102166129364588,0.0450922629895077,0.199992865463851,48987.675358422,"NO"
"5724",5856,"12237000010340000000",2,9.16951837745593,"NORMAL",57,"Commercial","APARTMENT",12.1516164597341,12.7674012514693,0.00771781827061109,0.137417931614635,0.931754352217568,0.65389215317125,0.05647244009768,0.0238057379485,0.536156843532059,0.178264322504502,0.128607473837128,0.0137633484027718,0.102197213795515,0.0449609865044559,0.20049043791512,48992.7077030903,"NO"
"5725",5857,"12237000010350000000",2,8.56636423542269,"FAIR",117,"Commercial","APARTMENT",11.9421070996957,12.4927542176484,0.00772757276049554,0.137334086941828,0.931792611368303,0.654450107104561,0.056480119019373,0.023789444470587,0.536142836106819,0.178299362180322,0.128505659902338,0.0137588037164788,0.102203012092893,0.044936499001344,0.200583252000933,48993.6464055218,"NO"
"5726",5858,"12237000010380000000",2,8.66215896166642,"NORMAL",97,"Commercial","APARTMENT",11.0348896640272,12.2690474446916,0.00815787386103507,0.133635435816996,0.933480342337504,0.679063202653172,0.0568188603061674,0.0230706881275446,0.535524924707272,0.179845072027447,0.124014328350439,0.0135583233698207,0.102458793150904,0.0438562785425241,0.204677572026284,49035.0555098584,"NO"
"5727",5859,"12237000010390000000",3,8.73873546136347,"NORMAL",97,"Commercial","APARTMENT",11.2541547360129,12.4403539412548,0.00833538188752433,0.132109666394101,0.934176565966057,0.689216609212317,0.0569585980322246,0.0227741863992894,0.535270023585845,0.180482709031267,0.122161561998954,0.0134756211163509,0.102564308081644,0.0434106654553672,0.206366562983092,49052.1376144133,"NO"
"5728",5860,"12237000010400000000",2,8.82732145269785,"NORMAL",107,"Commercial","APARTMENT",11.4998402254216,12.3296168316216,0.00814736795798819,0.133725739258174,0.933439135987092,0.678462268109446,0.056810589857608,0.0230882367334972,0.5355400111601,0.179807333156289,0.12412398527155,0.0135632181448565,0.102452548195934,0.0438826523802749,0.204577608235406,49034.0444967914,"NO"
"5729",5861,"12237000010420000000",2,8.50410795186758,"NORMAL",87,"Commercial","APARTMENT",11.3144745262464,12.2922503417712,0.00754216194782709,0.138927784726872,0.93106539135847,0.643844663515799,0.0563341600683265,0.0240991466709927,0.536409085611185,0.177633337114279,0.130440912756576,0.0138451879343004,0.102092799560851,0.0454019511065785,0.198819065940815,48975.8037932735,"NO"
"5730",5862,"12237000010470000000",2,8.78508063653984,"FAIR",122,"Commercial","APARTMENT",11.2528585595514,12.8813104055466,0.00834555974229117,0.1320221826904,0.934216485642461,0.689798779491551,0.0569666102348803,0.0227571857509921,0.535255408209599,0.180519269500938,0.122055329130417,0.0134708791813447,0.10257035803703,0.0433851151443588,0.206463405390733,49053.1170584571,"NO"
"5731",5863,"12237000010480000000",2,7.98888225330923,"NORMAL",110,"Commercial","APARTMENT",11.274668275846,12.6481910712864,0.00854155501128026,0.130337506259874,0.934985220105085,0.70100965084804,0.0571209014731313,0.0224298037326436,0.534973959450083,0.181223315613965,0.120009599443624,0.0133795635899576,0.102686862217949,0.0428930920025903,0.208328302677052,49071.9782431784,"NO"
"5732",5864,"12237000010510000000",2,8.98594603876032,"NORMAL",117,"Commercial","APARTMENT",11.944058319827,12.7544830296234,0.00792564503112233,0.135631557653306,0.932569492266022,0.665779782339774,0.0566360453131851,0.0234585931185563,0.535858404777685,0.179010869212878,0.126438251202925,0.0136665204352396,0.10232075089226,0.0444392617904986,0.202467911982228,49012.707466045,"YES"
